entreprise,titre,description
Upstart,Senior Data Scientist,"Upstart is a leading AI lending platform partnering with banks to expand access to affordable credit. Forbes recently ranked Upstart #12 on its list of ""most promising AI companies in America."" Inc. Magazine also recognized Upstart as one of the Best Workplaces for 2020.  By leveraging Upstart's AI platform, Upstart-powered banks can have higher approval rates and lower loss rates, while simultaneously delivering the exceptional digital-first lending experience their customers demand. Upstart's patent-pending platform is the first to receive a no-action letter from the Consumer Financial Protection Bureau related to fair lending. Upstart is based in San Mateo, California and Columbus, Ohio.  Most Upstarters join us because they connect with our mission of enabling access to effortless credit based on true risk. If you are energized by the impact you can make at Upstart, we'd love to hear from you!  The Team  Data Scientists with Upstart have a direct impact on our company's success. Our data science team consists of full-stack generalists as well as specialists in statistical modeling or machine learning as well as Machine Learning Engineers.  The fundamental goal of our data science team is to explore new models and new data sets that can improve the accuracy of our models. With this goal comes near-limitless challenges to tackle, and that is one of the reasons why Upstart is such a unique opportunity. Whether developing new products or identifying novel approaches to core models, we are continuously seeking the next big ideas to move our business forward.  The Role  As a Senior Data Scientist, you'll have ownership across a breadth of data science projects working end-to-end from building proof-of-concepts to productionalizing models. You'll also have an opportunity to work alongside a talented team that values curiosity, humility, drive and teamwork.  What we're looking for:  Strong academic credentials with a master's degree in computer science, statistics, mathematics, or other quantitative areas of study; Ph.D. preferred 5+ years relevant experience with detailed understanding of building good technical solutions; ability to convert ideas into testable hypotheses and/or next steps Programming skills in Python and/or R Full-stack expertise with all steps of the modeling process from ideation to productionalizing code; OR deep expertise in either statistical modeling or machine learning Knowledge of machine learning, pipelines and engineering architecture helpful Interest in growing in technical and/or people leadership is a plus Enthusiasm for and alignment with Upstart's mission and values Strong sense of intellectual curiosity balanced with humility, drive and teamwork Numerically-savvy and smart with ability to operate at a speedy pace  What you'll love:  Competitive compensation (base + bonus & equity) Comprehensive medical, dental, and vision coverage Personal development and technology & ergonomic budgets Life insurance and disability benefits Clubs and Activities (game nights, Fitstarters, Superwomen, book club, investing club, money discussions, photography club and basketball teams) Generous vacation policy 401(k) retirement plan Catered lunches + snacks & drinks  Upstart is a proud Equal Opportunity Employer. We are dedicated to ensuring that underrepresented classes receive better access to affordable credit, and are just as committed to embracing diversity and inclusion in our hiring practices. We celebrate all cultures, backgrounds, perspectives, and experiences, and know that we can only become better together."
Unisys,"Data Scientist, Product Innovation","We Believe in Better! We are a global information technology company that builds high-performance, security-centric solutions that can help change the world. Enhancing people’s lives through secure, reliable advanced technology is our vision. At Unisys, we believe in better! Here, you have the opportunity to learn new skills, apply your expertise, and solve complex problems with cutting edge technologies and solutions. You are part of a global diverse team that supports you, drives change, and delivers successful results consistently. Our associates are at the forefront of everything we do, driving our clients’ successes while giving back to communities and making a positive impact on enhancing the quality of life to help make this world a safer and more secure place to live and work. Our success is a direct result of the work of our people who live and breathe our Core Beliefs. Simply put, we believe in better lives. Join us! Learn more about Unisys and our key solution offerings: Unisys, Stealth , CloudForte , Intelliserve What success looks like in this role: In this role you will lead an entrepreneurial team responsible for designing, developing, testing and deploying Machine Learning models for existing and new product offerings. You will collaborate with a wide range of stakeholders to develop ways to meet business and technical objectives, utilizing latest techniques and tools. Drive business results with data-based insights. You will have opportunity to: Lead team in processing and analyzing datasets using data analysis and machine learning techniques. Develop AI Proof of Concepts (PoCs), as well as operationalize models that are deployed into production for our products. Design and deploy MLOps pipelines for existing and new product offerings. Potential for consulting and interacting directly with clients in order to build relationships and understand clients’ needs. Tools and Technologies you might use: Hadoop, Spark, H20.ai, Cloud AI platforms, containerization. Data visualization tools (Tableau, R Shiny, Plotly, Grafana, etc.) Team environment – This is a global cross-functional team including data scientist, data engineers, machine learning engineers and software engineers. This role could run from any major US office (Blue Bell, PA; Reston, VA; Augusta, GA; Santa Clara, CA; Irvine CA; Eagan, MN). You will be successful in this role if you have: Bachelor's degree in Computer Science, Math, or related field. Master's or advanced degree preferred. 3-5 years of related experience, including hands-on experience applying machine learning techniques to build models that are integrated into applications 10-20 years’ experience overall, including software or product development, software or systems engineering preferred Key Skills: Knowledge of a variety of techniques and when/how to apply to problems: Statistical modeling, machine learning, deep learning, natural language processing, data mining, reinforcement learning, etc.; Experience building and running stable, scalable pipelines to structure and to integrate Big Data Experience with elastic storage and categorizing data in a Data Lake repository Experience with designing, building, and deploying MLOps pipelines Experience using statistical computer languages (R, Python, SQL, etc.) Strong Analytic and Algorithmic skills Technical experience such as: Developing repeatable, dynamic & scalable models that are seamlessly incorporated into data analytic products; Building and running stable, scalable pipelines for large scale data Statistical computer languages (R, Python, SQL, etc.) Working in a team developing an AI, Data Science or Machine Learning product"
Spotify,Senior Data Scientist – Central Product Insights,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you’ll keep millions of users listening by making great recommendations to each and every one of them. Spotify’s Personalization Mission is looking for an experienced statistically-minded data scientist to join our Product Insights team to work on some of our complex statistical modeling and causal attribution efforts. This role sits within the central research team in our Product Insights group at Personalization responsible for developing our capabilities in measuring the performance and impact of our models and features, and developing foundational research knowledge, methods and tools. Working with a team of data scientists, user researchers and data engineers you will make imaginative and creative contributions to our approaches in statistical modeling and attribution, introducing methods and setting the standards for our statistical work, supporting and developing a best-in-class approach. What You’ll Do: Build lasting solutions to experimentation and attribution modeling Commit to ensuring industry-leading best practices for experimental design and statistical analysis Contribute to the development of the Product Insights function and the wider analytics community at Spotify Work from our offices in Boston Who You Are: You will have at least 5 years experience in applied research and statistical modeling with a degree or higher (MS/PhD) in statistics, mathematics, econometrics, or similar field Significant expertise in experimentation methodologies Significant breadth and depth of statistics/ML knowledge High level of ability in R or Python Competence with SQL and experience performing analysis on large datasets You are capable of taking on loosely defined problems and translating complex thinking into practical application for diverse audiences You are a communicative person who values building strong relationships with colleagues and partners and enjoys mentoring and teaching others You bring passion and playfulness to your work and those around you You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens. Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 286 million users. ,."
Ancera,Senior Data Scientist,"Location: Branford, CT Job Type: Full-time, Work Environment: Research Laboratory and shared workspace. 0-5% Travel. Ancera is a pioneer in the development and commercialization of Microbial Security products. Ancera’s flagship PIPER platform is the fastest microbial quantification and characterization solution across the food, agriculture, and livestock supply chains. Powered by patented MagDrive technology, PIPER generates pathogen and microbiome data in hours instead of weeks. The PIPER analytics engine aggregates microbial data in an operational context. This enables verifiable chain of custody and microbial risk assessment at each point in the supply chain. Ancera is currently searching for a data scientist to help craft the compelling visual stories conveying the analysis of aggregated data. This person will be responsible for applying data science techniques to leverage data and advance Ancera and our customers’ data management, identify trends in scientific and operational datasets, and develop predictive analytics. This person will support and lead continued developments and applications of the analytics engine, helping to design, build, and deploy interactive and value-driven data products. Responsibilities: Collaborate with R&D, Engineering and Commercial Operations team members, as well as with external customers, to design, build, and deploy interactive and value-driven data products. Participate in and present research in co-development technical meetings with industry leading animal health, vaccine, feed additive, and anti-microbial companies. Actively support commercialization of the data analytics and visualization platform (Intelligence Engine) powered by Ancera’s proprietary diagnostics and user-provided metadata. Aggregate and characterize data from publicly available and proprietary data sources. Perform statistical analyses and deliver concise presentations to peer review groups including Ancera Marketing, Sales, Commercial Operations, and technical teams. Participate in industry-wide conferences. Collaborate with customers on pilot projects. Translate data models into compelling and easily understood data products and visualizations. Qualifications Education/Experience: Graduate degree in economics, applied statistics, epidemiology, or other data-driven field, PhD preferred Related professional experience is essential Preferred: Prior experience with modeling biological and economic systems Experience working with disease and population modeling Experience working with fast-paced, growing companies Technical Skills Strong background with backend frameworks, programming (specifically, Python and R), and data visualization tools Understand the limits and benefits of different statistical programming languages Extensive data modeling and data architecture skills Proven expertise in development, testing, delivery, and monitoring of analytics web applications Ability to pro-actively and effectively communicate issues and results that impact timelines, accuracy, and reliability of data and visualization products to senior management Demonstrated ability to troubleshoot, optimize, and independently validate work product without supervision Prior experience integrating data with Tableau, R Studio, or other data visualization tools Some knowledge of network, cloud, and database infrastructure preferred Personality traits Passionate about working on challenging disruptive technologies Self-starter who can work independently and within a team Excellent interpersonal skills and ability to work well with personnel at all levels Ability to teach yourself new skills and learn of new industries Confident asking questions as well as exchanging feedback with other team members Ambition driven with critical thinking skills Considerable problem solving and decision-making skills Highly organized with the ability to prioritize and advance competing priorities Ability to perform well under fast paced and challenging product and market requirements Able to contribute technically to projects outside of their responsibility Willingness and ability to mentor junior employees Polite, persistent and patient"
"Operating Company ACTIVISION PUBLISHING, INC",Senior Data Scientist,"The Live Ops Analytics team is adding a talented Sr. Data Scientist embedded with one of our main Call of Duty studios. As a member of the Live Ops Analytics team, your mission is to put science into decision making. Responsibilities include: Develop novel analytics and contribute to the vision and execution of Activision’s analytic strategy by creating comprehensive analyses, innovative methodologies, and algorithms and prototypesBuild statistical models with large datasets to derive meaningful insights that effect actionable business decisionsWork closely with various stakeholders to investigate topics related to user experience, segmentation, retention and monetization utilizing full range of data toolkits from descriptive analytics to predictive modelingMeasure the impact of features, promotions, store offerings, and events through experimentation and causal inference to fuel recommendationsDemocratize and socialize learnings by contributing to a centralized repository that informs future game design, and is carried across titles and franchisesCollaborate across studio, product management, and engineering support teams to enable easier testing and experimentationAutomate and productionize analysis and studies that improve long-term decision makingDeliver presentations on analytic topics and results to both technical and non-technical audiences Player Profile Minimum Requirements: BA/BS degree required with technical focus (Statistics, Econometrics, Computer Science, Physics, Engineering or a related quantitative field); MS/PhD a plusStrong technical skills with SQL, R/ Python for data analysis; demonstrated programming skills either in data science or software development settings a plusExperience building supervised and unsupervised data models in R or PythonDeep understanding of AB testing, experimentation, and causal inference methodologiesSkilled at deriving narrative from data and communicate the results effectivelyPlay games, with a solid understanding of user engagement and monetization strategies in gaming, entertainment/ecommerce service providers, or mobile apps a plusWork experience in cross-functional teams a plusDeep product sense, with a solid understanding of user engagement and monetization strategies in gaming, entertainment/ecommerce service providers, or mobile apps a plus  Extra Points: Demonstrated business impact, with a focus on player engagement, and player experienceClear, concise and data-driven insights leading to business action and the optimization of systemsRelationships & communication – as an embedded team member, you build trust with the studio and are a conduit of knowledge to & from Global AnalyticsContributes to company learnings and proactively documents resultsParticipates in feedback conversations with supervisor and peers, and can adapt approach when neededDrives measurable engagement and revenue impact through analysis and statistical models Our World Activision Blizzard, Inc. (NASDAQ: ATVI), is one of the world's largest and most successful interactive entertainment companies and is at the intersection of media, technology and entertainment. We are home to some of the most beloved entertainment franchises including Call of Duty®, World of Warcraft®, Overwatch®, Diablo®, Candy Crush™ and Bubble Witch™. Our combined entertainment network delights hundreds of millions of monthly active users in 196 countries, making us the largest gaming network on the planet! Our ability to build immersive and innovate worlds is only enhanced by diverse teams working in an inclusive environment. We aspire to have a culture where everyone can thrive in order to connect and engage the world through epic entertainment. We provide a suite of benefits that promote physical, emotional and financial well-being for ‘Every World’ - we’ve got our employees covered! The videogame industry and therefore our business is fast-paced and will continue to evolve. As such, the duties and responsibilities of this role may be changed as directed by the Company at any time to promote and support our business and relationships with industry partners. Activision is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law and will not be discriminated against on the basis of disability."
Discovery Communications,Senior Data Scientist,"Position Summary:  About Discovery Discovery, Inc. is the global leader in real life entertainment. We serve passionate fans with content that inspires, informs, and entertains, providing leadership across deeply loved and trusted brands, such as Discovery Channel, TLC, Animal Planet, HGTV, Food Network, and Travel Channel. Available in 220 countries and territories and 50 languages, Discovery reaches viewers on all screens and services, from free-to-air and pay-TV channels, to digital products and streaming services, to social and mobile-first content and formats. Discovery delivers over 8,000 hours of original programming each year.  About Us Discovery's Digital group is a well-funded start-up within Discovery, Inc. We are fast, nimble, and have fun developing new, innovative, and immersive digital products and content for iconic brands. We are working at the crossroads of technology, entertainment, and every day utility. As content creators across the digital ecosystem, we continuously leverage our technology to create immersive viewing and interactive experiences. We tell engaging stories to millions of viewers across the Internet every day, and bring new interactive experiences to life to not only entertain, but improve the lives of our customers.  Position Summary We are hiring a Senior Data Scientist in Bellevue, Washington to help build, scale, and improve data models to drive key features and deliver critical insights across our food, home, and lifestyle products. The Senior Data Scientist will be an experienced scientist and leader on the Data Science and Analytics team. They will help advise and create a scalable data models using various modeling or machine learning techniques to support our direct-to-consumer products and apps.  This role will own data modeling solutions that drive specific product features and drive insights in support of our consumer products across mobile, tablets, web, connected TV, voice, and emerging technologies. They will use big data platforms and statistical, econometric, and/or machine learning techniques to enable product capabilities and features beyond what is feasible using heuristics or curation. This senior scientist will ensure the ongoing performance of reliable and ever-improving data models using modern modeling technologies.  An ideal candidate will be a driven, passionate advocate for using data science to produce great experiences for our customers. This person will make data-driven decisions, have an insatiable curiosity, love to invent and innovate to solve difficult problems, and obsess about their customers. They will have a strong point of view but remain open-minded should evidence lead elsewhere. They are a senior member of the team whom others enjoy working with because they are reliable, innovative, and care for their team members. They build trust with people from all areas of the business and have a proven track record. This senior scientist takes end-to-end ownership of their work and consistently delivers results in a fast-paced environment. When their models fail to perform at first, they persist, learn, and iterate to deliver ever improving data models and solutions. Responsibilities: 1. Partner with product, marketing, engineering, and analytics stakeholders to understand and prioritize where we can leverage data science and modeling to support key business goals and processes.  2. Determine the best modeling approach to solve and automate various problems - finding solutions that effectively balance performance, simplicity, and scalability. 3. Work with engineering and analytics teams to identify scalable, accessible data sources for modeling.  4. Design, build, maintain, and improve data models to deliver customer, product, and marketing features and insights. 5. Ensure data models are production ready and perform to sufficiently support real-time product usage.  6. Prepare redundant and scalable data models that efficiently use resources and elegantly handle disruptions. 7. Ensure data integrity and accuracy across all model inputs. 8. Partner with other data science teams to share best practices and insights to support ongoing learning. 9. Make data science techniques approachable and understandable to non-data scientists. 10. Support the hiring and development of other data scientists, analysts, and other technical professionals, helping them enhance their skills, while supporting a fun and engaging culture. Requirements:Minimum of 7+ years of proven technical experience in data science and modeling.Experience with statistical programming languages, such as Python or R is required.Experience in structuring, cleansing, and preparing large, complex datasets for modeling. Experience with SQL and other data querying techniques. Experience with Apache Spark and Hadoop is preferred. Experience with Amazon Web Services (Redshift, S3, EC2, EMR, etc.) is preferred. Demonstrated ability to work across product, engineering, and analytics teams to evaluate new ideas, discuss technical concepts, create scalable designs, implement new models, and make tradeoffs to remove roadblocks.Strong understanding of digital products, e-commerce economics and strong business acumen.Demonstrated ability to iterate and improve models both prior to and after they are implemented in production.Strong written and verbal communication skills. Can communicate the results of your work clearly to your audience. Masters in quantitative or technical field (statistics, mathematics, computer sciences, etc.) is a required.PhD in quantitative or technical field (statistics, mathematics, computer sciences, etc.) is a plus.Must have the legal right to work in the United States Bellevue, Washington, WA, Seattle"
Tesla,"Sr. Data Scientist, Distribution Strategy & Execution","The Role: At Tesla, we move at warp speed and warehousing, distribution and logistics is at the forefront of the evolution of Tesla’s supply chain as we embark on transformational change in the coming months. We have an ambitious vision and a complex portfolio of programs that enable Tesla’s future. As a Sr. Data Scientist on the Distribution Strategy & Execution team, you will be responsible for architecting and prescribing evolutionary roadmap for Tesla’s global network for Distribution Centers for Service Parts Supply Chain. You will have full ownership over end-to-end process from identification of opportunities and bottlenecks in the supply chain to delivery of solutions. You’ll drive projects across multiple geographies – NAMR, EMEA, and APAC - and touch multiple domains – distribution, transportation, financial, and inventory management. We are looking for a leader who is goal-oriented, results driven, and data-centric. Responsibilities: Architect, validate and maintain models and systems to elevate Tesla’s distribution and logistics business capabilities that include greenfield/brownfield analysis for consolidation, cross-dock and distribution nodes, network design, design of last mile logistics, optimization of end-to-end flow of parts, inventory optimization etc.  Leverage a deep understanding of principles and applications of optimization and simulation to identify and quantify new business models and opportunities. Provide thought leadership in analytics, modeling and drive to promote team’s capability and output. Mentor team members and collaborate internally and externally to solve business problems. Translate quantitative research and analysis into actionable insights, prepare visualizations and present findings with influential storytelling. Develop and program manage implementation of solutions and business processes that are optimized for speed, accuracy, cost efficiency, capacity and flexibility.  Develop decision support systems, tools, and models that are scalable and reproducible to assist in strategizing growth and decision making for Tesla supply chain capabilities. Simulate and conduct sensitivity analysis to stress test existing network and future models to identify operational bottlenecks and risks. Formulate and analyze what-if scenarios, design and evaluate experiments, alternate and conceptual models.  Champion the use of Operations Research and Data Science concepts, techniques, and best practices. Requirements: Master’s degree or PhD. in Operations Research, Industrial Engineering, Systems Engineering, Applied Math in Logistics, Supply Chain Management or equivalent. 5+ years of experience in supply chain operations, logistics, or manufacturing. Programming skills with at least one object oriented language (e.g. Java) and one scripting language (e.g. Python) Experience with statistical software (R), database languages (SQL), and predictive modeling/ ML tools (Scikit Learn, R) Working knowledge of optimization tools (Gurobi, Cplex, or Xpress)  Experience working with advanced planning systems and tools like Llamasoft, AnyLogistix, i2/JDA, Oracle ASCP, SAP APO etc. Proficient in concepts of Operations Research and Data Science like mathematical programming (LP, Non-LP, MILP), Queuing Theory, Simulation, and ML etc. Knowledgeable in modeling heuristics, best practices and effective solutions from within the industry or derived from other industries. Strong ability to display craft skill in addition to technical skill to transform complex business problems into a simple structured models and stories. Ability to thrive in a fast-moving and constantly evolving high growth environment. Comfortable in an environment with unstructured, incomplete and ambiguous data. Tesla participates in the E-Verify Program"
OMP,Data Scientist Forecasting,"Your Challenge In supply chain planning, it is important to be able to forecast product demand. Accurate forecasts ensure optimized plans, which reduce the time and cost to get your products to your customers and deliver insights on sales opportunities. At OMP we are looking for Data Scientists to help our customers reach their strategic goals by delivering data analytics and insights via advisory services. Our new Data Scientists will also help us to improve the OMP planning solution through research and development. Are you ready to join the exciting world of forecasting and supply chain planning? Are you passionate about finding patterns in data? Then apply for the position of Data Scientist and join our product development team. As a Data Scientist - Forecasting, you have only one aim: to provide innovative solutions for our customers’ challenging analytics and forecasting needs. This includes: Performing data cleansing, data wrangling and statistical analysis of time series data provided by OMP’s customers. Creating and finetuning statistical models, generating forecasts and providing insight into the statistical forecastability of the data set. Visualizing your findings and presenting them to our customers in a way that a non-technical audience can understand. Staying abreast of academic research on time series forecasting and machine learning, by reading journals, attending conferences, etc., and sharing your knowledge with your coworkers. Conducting your own research and prototyping of forecasting algorithms in-line with OMP’s product vision and road map and in cooperation with other data scientists and product analysts. Contributing to the continuous improvement of the statistical forecasting functionality by understanding its current capabilities and translating the findings obtained from your research and prototypes into functional requirements that can be passed to the software development team. Validating newly developed functionalities with different stakeholders.  As well as your advisory and R&D activities, you’ll act as an expert for the OMP consultant teams by providing input on how to set up, configure and maintain their customers’ statistical forecasting functionality. Your Profile It is essential that you have: A master’s degree in statistics or another quantitative discipline with a strong focus on statistics. A PhD is an advantage. Practical experience with predictive modeling and time series analysis and forecasting. Techniques like multivariate linear regression, exponential smoothing, ARIMA, etc. hold no secrets for you. Good knowledge of scripting languages like R and Python. A positive attitude even when data sets are small and/or have data quality problems. In fact, you see it as a challenge to get insights from such data sets. The ability to work autonomously, as well as collaboratively in a team of Data Scientists, in an atmosphere where giving constructive feedback is a must. Fluency in English.  It’d be great if you also had: Basic knowledge of relational databases and SQL. The ability to apply advanced data science techniques as well as a deep understanding of the underlying mathematics and statistics. An affinity with data visualization tools and techniques. Our Offer Like a lot of companies, we offer a permanent position working on state-of-the-art software and delivering insightful advice in a growing international company with an attractive salary and other benefits. What sets us apart from other companies are our personal coaching and training packages. Personal coaching Your coach and team coach are available during your entire career at OMP to ensure your wellbeing and personal development within the company and your future career.  Training Collaborations with academia to ensure your skills remain at the highest possible level. Your Company? We are OMP, a software and consulting company delivering advanced supply chain planning solutions specifically tailored to individual industries worldwide. Our aim is to make every customer’s day by optimizing their supply chain. How do we do that? With our very own innovative planning software that meets and then exceeds expectations. With a workforce numbering more than 600 in offices around the world, we have become a prominent player in the supply chain planning space. Our customers include many leading global companies, such as ArcelorMittal, BASF, Dow, L’Oréal, Michelin, Procter & Gamble, Shaw, Shell, Smurfit Kappa, and Yoplait. We serve our customers from our head office in Belgium and regional offices in Brazil, China, France, Germany, India, the Netherlands, Spain, Ukraine, and the US."
"Take-Two Interactive Software, Inc.",Senior Data Scientist,"Who We Are  Take-Two develops and publishes some of the world's biggest games. Our Rockstar label creates Grand Theft Auto and Red Dead Redemption, two of the most critically acclaimed gaming franchises in history. Our 2K label creates games like NBA 2K, WWE 2K, Bioshock, Borderlands, Evolve, XCOM and the beloved Sid Meier's Civilization. Our Private Division label publishes Kerbal Space Program, The Outer Worlds, and will publish upcoming titles with Obsidian Entertainment, Panache Digital Games and more.   Take-Two Direct to Consumer  The Direct to Consumer team is a (well-funded) startup within Take-Two. We have offices in San Francisco and Vancouver and have built a culture that enables remote work. We're building a commerce and distribution platform for our game labels, partnering directly with our studios to bring value company-wide. Our team is small and agile – we release to our users quickly, and constantly iterate to elevate our product’s quality. We seek regular feedback from our users and labels to make sure we are delivering at and above expectations. We believe in giving our studios the flexibility they need to create the world's greatest games, so we plan to offer a variety of interfaces using modern technology and best practices. Our success is measured by our impact on gamers and developers, not presentations or promises.   As a Data Scientist on the D2C team you’ll be responsible for shaping and running advanced analytics and modeling initiatives to support the strategic direction of Take 2 Direct to Consumer Services. You will be working with data engineers and analysts to find valuable insights about our industry, the market, the games, and our player communities. You will also find the best ways to turn these insights into reliable and scalable solutions for our creative and corporate teams throughout the global organization.   Responsibilities:  Champion the use of data science to reduce cost and increase the value of human judgment in decision making Work with product partners to understand how data science can help meet their business needs, formulate quantitative and measurable objectives, and guide them to actionable solutions Use advanced research techniques such as statistical analysis, machine learning, and data visualization to explore data, test hypotheses, identify underlying causes and patterns Share knowledge and create new models and algorithms to solve problems distinct to Direct to Consumer channels (e.g. sales forecasting, promo optimization, etc.) Develop models to identify, monitor and measure results of various key performance indicators reflecting the health of various Take-Two products in different segments of the interactive entertainment field   Required Skills & Qualifications:  Degree in a quantitative field (Mathematics, Computer Science, Statistics, Operational Research, Engineering, etc). Solid understanding and professional experience in statistical analysis Strong analytical and problem-solving skills, with experience in breaking down a complex problem into solvable components Strong skills in data extraction, exploration, transformation and visualization Deep understanding of best-in-class and emerging methods and techniques in data science, with a high level of analytical rigor in formulating insights and strategies A confident, self-starter with the ability to think logically and make fact-based decisions Able to communicate clearly and concisely – to distill clear and simple themes from complex analytical findings Enjoy forward and critical thinking   Technical Skill Requirements:  Proficient in Python and Jupiter Notebook Experience using data science and ML libraries, such as SciPy and scikit-learn Data visualization tools (e.g. MatPlotLib, Seaborn, Tableau, etc.) Operating with data at scale (e.g. Apache Spark, Snowflake, Databricks, etc.)   Desired Skills:  Advanced degree in a quantitative field Experience in a deep learning library (e.g. Keras, Tensorflow) Cloud machine learning platforms, e.g. AWS SageMaker Experience of writing and tuning SQL Experience in a commercially focused analytical role, preferably in the digital retail and/or digital entertainment industry   #LI-PH1"
Apple,"Product Research Data Scientist, Apple Media Products","Summary Posted: Apr 27, 2020 Role Number:200167936 At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. If you are a results-oriented, passionate individual who is not afraid of challenges, we’re looking for you. Apple is seeking a specialist Data Scientist to join a team passionate about Data Science & Analytics for Apple Media Products (AMP) covering curation and user experience across Apple Services. This role will involve working with Internet-scale customer engagement data across numerous media products, undertaking in-depth quantitative analysis and building machine learning models to drive product and strategy. The team’s culture centers around rapid iteration with open feedback and debate along the way, plus strong collaboration with design, engineering, business, and marketing partners. Key Qualifications 3+ yrs demonstrated ability in a Data Scientist or Data Analyst role, preferably from a role working with media content. Proven experience in music, mobile apps, or video content is a plus. Strong proficiency with SQL-based languages. Experience with Python, R or comparable scripting language. Experience with large scale analytics technologies such as Hadoop and Spark preferred. Familiarity with data visualization tools for full-stack data analysis, insight synthesis and presentation! We seek proficiency with Machine Learning (such as Deep Learning and Sequence Modeling) and NLP methods. Experience using relevant statistical and machine learning methods for building predictive models and knowledge of A/B test experimentation design. Curious business mentality with an ability to condense complex concepts and analysis into clear and concise takeaways that drive action. Excellent communication, social and presentation skills with meticulous attention to detail. Strong time management skills with the ability to handle work to tight deadlines and the pressure of executive requests. Description Investigate large-scale data to uncover trends and identify key insights that will drive Apple Services product and design strategy across App Store, Apple Arcade, Apple Music, and the Apple TV app. Pioneer new techniques to best understand customer experience and product/feature lifecycles. Uncover new opportunities for product features and back them with data insights. Model customer behavior and user content preferences . Partner with other Apple organizations on data gathering, data governance, evangelizing evangelizing analysis and models, and redefining data. Your creativity skills will be utilized daily. Education & Experience Minimum of a Bachelors degree in Computer Science, Statistics, Mathematics, Engineering, Economics or related field. Ideally, Masters or PhD in related field."
BASF Corporation,"Senior Geospatial Data Scientist (State College, PA)","We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, age, citizenship, color, religion, sex, marital status, national origin, disability status, gender identity or expression, protected veteran status, or any other characteristic protected by law. Description At BASF, we create chemistry through the power of connected minds. By balancing economic success with environmental protection and social responsibility, we are building a more sustainable future through chemistry. As the world’s leading chemical company, we help our customers in nearly every industry meet the current and future needs of society through science and innovation. We provide a challenging and rewarding work environment with a strong emphasis on process safety, as well as the safety of our employees and the communities we operate in and are always working to form the best team—especially from within, through an emphasis on lifelong learning and development. And we are constantly striving to become an even better place to work. BASF has been recognized by Forbes Magazine as one of America’s Best Employers in 2019. Come join us on our journey to create solutions for a sustainable future!  Senior Geospatial Data Scientist (2000033) – State College, PA  Where the Chemistry Happens  We are currently seeking a professional like you to join our Digital Farming team. In this role, you will have a strong technical background in data science and earth or remote sensing sciences with a proven capability to develop robust, scalable solutions that produce and improve geospatial and time series data for agricultural research and operational applications. You will interface closely with BASF’s digital farming teams – including weather, remote sensing, agricultural modeling, data science, and product development teams – to provide and improve geospatial products and data for each teams’ respective needs. This is an excellent opportunity for you to demonstrate your fluency with scientific computing language such as Python or R (strong preference for Python), expertise in GIS tools and libraries (QGIS, GDAL, rasterio, xarray), and experience with machine learning libraries such as scikit-learn. You will also get to share your expertise working with scientific and geospatial data formats (GeoTiff. Cloud Optimized GeoTiff, Zarr, NetCDF, GRIB, HDF), experience with Linux and cloud-based environments (Amazon Web Services), and your ability to write well-structured, efficient, easily maintainable, and well-documented research code that can be easily transferred to a geospatial data processing chain. Qualifications - BASF recognizes institutions of Higher Education which are accredited by the Council for Higher Education Accreditation or equivalent Formula for Success Leveraging your education advanced education in the earth sciences, remote sensing or computer science and subject matter expertise in processing, producing, and improving geospatial data for agricultural applications, you will develop innovative geospatial datasets and machine learning models from various types of geospatial and non-geospatial data (e.g. weather data, remote sensing data, in-situ observational data, etc.) Demonstrating your extensive experience developing geospatial solutions for complex crop production challenges, you will write scalable, robust, well-documented research and operational code. Your proven and excellent ability to visualize and interpret geospatial results will allow you to effectively communicate through the development phases of your projects. Your familiarity with statistical analysis to improve, compare, and validate data / models will serve you well as you interact with the digital farming community. Your experience with data science, including data wrangling, statistical models, and machine learning, and its proper application to different geospatial datasets will be a valued asset as you develop solutions that help improve and automate crop production. Create Your Own Chemistry: What We Offer You Adding value to our customers begins with adding value to you. You@BASF is the suite of benefits, perks, programs and unique opportunities we offer to support you—the whole you—in all stages of your life and career. With you@BASF, you create your own chemistry.  The total rewards that you receive as a BASF employee go way beyond a paycheck. From competitive health and insurance plans, to robust retirement benefits that include company-matching contributions, to making sure you never stop learning, we believe investing in you is investing in our success. Working for a large, global organization, you’ll have a chance to grow professionally and personally, expand your network and build a rewarding and dynamic career.  BASF provides interesting and challenging learning and development opportunities to help you make the most of your talents and your job."
